parent|child|mi|containment|jaccard|dotproduct|card1|card2|size1|size2
ckan_keywords_newfoundland|ckan_keywords_canada revenue agency|0.493983578835|1.0|0.835205992509363|0.87109375|4|2|2064|2064
ckan_keywords_nova scotia|ckan_keywords_canada revenue agency|0.493983578835|1.0|0.835205992509363|0.87109375|4|2|2064|2064
ckan_keywords_nunavut|ckan_keywords_canada revenue agency|0.493983578835|1.0|0.835205992509363|0.87109375|4|2|2064|2064
ckan_keywords_prince edward island|ckan_keywords_canada revenue agency|0.493983578835|1.0|0.835205992509363|0.87109375|4|2|2064|2064
ckan_keywords_province|ckan_keywords_canada revenue agency|0.583470706206|0.991967871485944|0.9182156133829|0.92068052686|4|4|2064|2064
ckan_keywords_quebec|ckan_keywords_canada revenue agency|0.493983578835|1.0|0.835205992509363|0.87109375|4|2|2064|2064
ckan_keywords_statistics|ckan_keywords_canada revenue agency|0.169967755062|1.0|0.164794007490637|0.36208677686|4|3|2064|2064
ckan_keywords_taxpayers|ckan_keywords_canada revenue agency|0.169967755062|1.0|0.164794007490637|0.36208677686|4|3|2064|2064
ckan_keywords_air|ckan_keywords_canadian environmental protection act|0.0313521995765|1.0|1.0|0.0152125638149|3|3|2064|2064
ckan_keywords_canadian radiological monitoring network|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.00591715976331|2|5|2064|2064
ckan_keywords_carbon monoxide|ckan_keywords_nitrogen oxides|0.0221948128528|1.0|0.5|0.013352666205|3|4|2064|2064
ckan_keywords_catastrophe|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_education|ckan_keywords_census of population|0.0245403230094|1.0|0.172413793103448|0.555555555556|4|2|2064|2064
ckan_keywords_language|ckan_keywords_census of population|0.0404688109114|1.0|0.310344827586207|0.5625|4|2|2064|2064
ckan_keywords_census of population|ckan_subject_persons|0.103415420168|1.0|0.386666666666667|4.86805555556|4|5|2064|2064
ckan_keywords_air|ckan_keywords_cepa|0.0313521995765|1.0|1.0|0.0152125638149|3|3|2064|2064
ckan_keywords_cgc|ckan_keywords_canada|0.00603370772761|1.0|0.0344827586206897|0.00826446280992|2|4|2064|2064
ckan_keywords_charadriiformes|ckan_topiccategory_biota|0.00603370772761|1.0|0.1|0.00346020761246|2|6|2064|2064
ckan_keywords_chemical|ckan_keywords_emissions|0.0202568283567|1.0|0.222222222222222|0.00308641975309|2|6|2064|2064
ckan_keywords_chemical spill|ckan_keywords_emissions|0.0202568283567|1.0|0.222222222222222|0.00308641975309|2|6|2064|2064
ckan_keywords_climate|ckan_keywords_air and climate|0.0157963820015|1.0|0.230769230769231|0.0247933884298|2|6|2064|2064
ckan_keywords_canadian arctic|ckan_keywords_climate|0.0157963820015|1.0|1.0|0.0247933884298|2|2|2064|2064
ckan_keywords_climate change|ckan_keywords_climate|0.0157963820015|1.0|1.0|0.0247933884298|2|2|2064|2064
ckan_keywords_ice|ckan_keywords_climate|0.0157963820015|1.0|1.0|0.0247933884298|2|2|2064|2064
ckan_keywords_multi-year ice|ckan_keywords_climate|0.0157963820015|1.0|1.0|0.0247933884298|2|2|2064|2064
ckan_keywords_northwest passage|ckan_keywords_climate|0.0157963820015|1.0|1.0|0.0247933884298|2|2|2064|2064
ckan_keywords_sea ice|ckan_keywords_climate|0.0157963820015|1.0|1.0|0.0247933884298|2|2|2064|2064
ckan_keywords_sea ice area|ckan_keywords_climate|0.0157963820015|1.0|1.0|0.0247933884298|2|2|2064|2064
ckan_keywords_concentrations|ckan_keywords_air pollutants|0.0110980843898|1.0|0.2|0.02|2|5|2064|2064
ckan_keywords_parole|ckan_keywords_conditional release|0.0600227074436|1.0|1.0|0.156383219955|4|4|2064|2064
ckan_keywords_review|ckan_keywords_conditional release|0.0286827349426|1.0|0.5|0.0136054421769|4|2|2064|2064
ckan_keywords_conditional release|ckan_subject_law|0.0600227074436|1.0|0.5|0.156383219955|4|5|2064|2064
ckan_keywords_conditional release review|ckan_keywords_conditional release|0.0286827349426|1.0|0.5|0.0136054421769|2|4|2064|2064
ckan_keywords_conflict|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_canadian construction association|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_cca|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_construction industry|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_construction payment disclosure|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_construction-related payment|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_dcc|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_defence construction canada|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_government-industry working group on prompt payment|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_payments to contractors|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_proactive disclosure|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_prompt payments|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_pspc|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_public services and procurement canada|ckan_keywords_construction contracts|0.00603370772761|1.0|1.0|0.00444444444444|2|2|2064|2064
ckan_keywords_contributions|ckan_subject_education_and_training|0.00603370772761|1.0|0.0204081632653061|0.00826446280992|2|4|2064|2064
ckan_keywords_availability|ckan_keywords_coverage|0.0110980843898|1.0|1.0|0.02|2|2|2064|2064
ckan_keywords_broadband|ckan_keywords_coverage|0.0110980843898|1.0|1.0|0.02|2|2|2064|2064
ckan_keywords_hexagon|ckan_keywords_coverage|0.0110980843898|1.0|1.0|0.02|2|2|2064|2064
ckan_keywords_internet service providers|ckan_keywords_coverage|0.0110980843898|1.0|1.0|0.02|2|2|2064|2064
ckan_keywords_coverage|ckan_keywords_national|0.0110980843898|1.0|0.25|0.02|2|5|2064|2064
ckan_keywords_underserved population|ckan_keywords_coverage|0.0110980843898|1.0|1.0|0.02|2|2|2064|2064
ckan_keywords_unserved population|ckan_keywords_coverage|0.0110980843898|1.0|1.0|0.02|2|2|2064|2064
ckan_keywords_critical|ckan_topiccategory_biota|0.00603370772761|1.0|0.1|0.00826446280992|2|6|2064|2064
ckan_keywords_critical infrastructure|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
