parent|child|cont_jacc|containment|jaccard
ckan_keywords_earthquake|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_ebm|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_ecosystem risk assessment framework|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_ecosystem-based management|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_ecosystems|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_educational assistance payment - eap|ckan_subject_education_and_training|49.00000000000006|1.0|0.0204081632653061
ckan_keywords_ehv mpa|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_emergency|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_emissions|ckan_keywords_province|14.722222222222216|0.111111111111111|0.00754716981132075
ckan_keywords_endeavour hydrothermal vents marine protected area|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_energy|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_energy recovery|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_environment|ckan_subject_nature_and_environment|10.285714285714288|1.0|0.0972222222222222
ckan_keywords_environment canada|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_environmental indicator|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_environmental performance|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_environmental programs|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_environmental radioactivity monitoring|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_epidemic|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_eraf|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_eskimo curlew; range; downloadable data|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_explosion|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_explosive|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_extinct|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_extirpated|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_facilities|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_farmland|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_federal provincial agreements|ckan_subject_nature_and_environment|20.571428571428577|1.0|0.0486111111111111
ckan_keywords_financial position|ckan_subject_government_and_politics|191.49999999999986|1.0|0.00522193211488251
ckan_keywords_fine particulate matter|ckan_keywords_province|124.50000000000007|1.0|0.00803212851405622
ckan_keywords_first nations|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_fish|ckan_keywords_british columbia|230.00000000000009|1.0|0.00434782608695652
ckan_keywords_fish farming|ckan_keywords_british columbia|76.66666666666647|1.0|0.0130434782608696
ckan_keywords_fisheries and oceans canada|ckan_keywords_british columbia|76.66666666666647|1.0|0.0130434782608696
ckan_keywords_flood|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_geological|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_geomagnetic storm|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_government-wide chart of accounts|ckan_subject_government_and_politics|63.83333333333341|1.0|0.0156657963446475
ckan_keywords_great lakes|ckan_keywords_ontario|13.684210526315786|1.0|0.0730769230769231
ckan_keywords_habitat|ckan_keywords_british columbia|77.33333333333319|0.333333333333333|0.00431034482758621
ckan_keywords_habitat capacity|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_habitat joint ventures|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_habitat secured|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_habitats|ckan_keywords_british columbia|77.33333333333319|0.333333333333333|0.00431034482758621
ckan_keywords_harlequin duck; range map; downloadable data|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_haulout location|ckan_keywords_british columbia|115.00000000000004|1.0|0.00869565217391304
ckan_keywords_health and safety|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_health canada|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_health care system|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_hearing|ckan_subject_law|4.0|1.0|0.25
ckan_keywords_hexagon|ckan_subject_science_and_technology|25.0|1.0|0.04
ckan_keywords_hierarchical bayesian|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_hijacking|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_human impacts|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_humidity|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_hurricane|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_ice|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_immunization.|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_incident|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_industry|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_infestation|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_inshore waters|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_international comparison|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_internet service providers|ckan_subject_science_and_technology|25.0|1.0|0.04
ckan_keywords_inventory|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_journal articles|ckan_subject_nature_and_environment|72.50000000000001|0.5|0.00689655172413793
ckan_keywords_kidnapping|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_lake ontario|ckan_keywords_ontario|13.684210526315786|1.0|0.0730769230769231
ckan_keywords_lake temperature|ckan_keywords_ontario|13.684210526315786|1.0|0.0730769230769231
ckan_keywords_lake winnipeg|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_land|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_landfill|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_landslide|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_language|ckan_subject_persons|8.333333333333334|1.0|0.12
ckan_keywords_lead|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_leak|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_leave type|ckan_subject_government_and_politics|95.75000000000013|1.0|0.010443864229765
ckan_keywords_man-made|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_map|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_marine biology|ckan_keywords_british columbia|115.00000000000004|1.0|0.00869565217391304
ckan_keywords_marketing|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_mean sea level pressure|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_metals|ckan_subject_nature_and_environment|14.400000000000007|1.0|0.0694444444444444
ckan_keywords_meteorological|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_meteorological service of canada|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_migratory bird|ckan_keywords_environmental indicators|42.000000000000014|1.0|0.0238095238095238
ckan_keywords_migratory bird|ckan_keywords_nature|12.000000000000005|1.0|0.0833333333333333
ckan_keywords_migratory bird|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_migratory bird|ckan_subject_society_and_culture|45.00000000000005|1.0|0.0222222222222222
ckan_keywords_minutely data|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_monitoring|ckan_subject_nature_and_environment|14.400000000000007|1.0|0.0694444444444444
ckan_keywords_moored buoy|ckan_keywords_ontario|13.684210526315786|1.0|0.0730769230769231
ckan_keywords_msc|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_msl|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_multi-year ice|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_national|ckan_subject_nature_and_environment|18.25|0.75|0.0410958904109589
ckan_keywords_national monitoring section|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_natural|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_nature and biodiversity|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_nature and biodiversity - habitat|ckan_keywords_british columbia|58.25000000000002|0.25|0.00429184549356223
ckan_keywords_nature conservation|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_nitrogen oxides|ckan_keywords_province|31.875|0.25|0.00784313725490196
ckan_keywords_north american waterfowl management plan|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_npri|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_nuclear|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_nutrients|ckan_subject_nature_and_environment|10.285714285714288|1.0|0.0972222222222222
ckan_keywords_nutrition facts table|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_obesity|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_oceans|ckan_keywords_british columbia|77.00000000000001|0.666666666666667|0.00865800865800866
ckan_keywords_ochro|ckan_subject_government_and_politics|95.75000000000013|1.0|0.010443864229765
ckan_keywords_ochro|ckan_subject_labour|31.25|1.0|0.032
ckan_keywords_oecd|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_offshore waters|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_ontario|ckan_keywords_buoy|13.684210526315786|1.0|0.0730769230769231
