label1,label2,mi,dotprod,card1,card2,size1,size2
ckan_keywords_atlantic - newfoundland and labrador (nl),ckan_keywords_atlantic - prince edward island (pe),0.00603370772761,0.00390625,2,2,2064,2064
ckan_keywords_atlantic - prince edward island (pe),ckan_keywords_atlantic - new brunswick (nb),0.00603370772761,0.00390625,2,2,2064,2064
ckan_keywords_atlantic - prince edward island (pe),ckan_keywords_atlantic - nova scotia (ns),0.00603370772761,0.00390625,2,2,2064,2064
ckan_keywords_atlantic - prince edward island (pe),ckan_keywords_other,0.00603370772761,0.00390625,2,2,2064,2064
ckan_keywords_atlantic - prince edward island (pe),ckan_keywords_oversee and manage site conditions,0.00603370772761,0.00390625,2,2,2064,2064
ckan_keywords_atmospheric forcing index,ckan_keywords_afi,0.0110980843898,0.08,2,2,2064,2064
ckan_keywords_atmospheric forcing index,ckan_keywords_pacific,0.0110980843898,0.08,2,4,2064,2064
ckan_keywords_avalanche,ckan_subject_health_and_safety,0.00603370772761,0.0004,2,5,2064,2064
ckan_keywords_average density,ckan_topiccategory_biota,0.00603370772761,0.00346020761246,2,6,2064,2064
ckan_keywords_bank of canada,ckan_keywords_cash,0.00603370772761,0.0123456790123,2,2,2064,2064
ckan_keywords_bank of canada,ckan_keywords_consolidated revenue fund,0.00603370772761,0.0123456790123,2,2,2064,2064
ckan_keywords_bank of canada,ckan_keywords_deposits,0.00603370772761,0.0123456790123,2,2,2064,2064
ckan_keywords_bank of canada,ckan_keywords_inflows,0.00603370772761,0.0123456790123,2,2,2064,2064
ckan_keywords_bank of canada,ckan_keywords_payments,0.00603370772761,0.0123456790123,2,2,2064,2064
ckan_keywords_bank of canada,ckan_keywords_receiver general,0.00469897541067,0.0123456790123,2,4,2064,2064
ckan_keywords_bank of canada,ckan_keywords_transfers,0.00603370772761,0.0123456790123,2,2,2064,2064
ckan_keywords_bc,ckan_keywords_british columbia,0.0157963820015,0.046875,2,6,2064,2064
ckan_keywords_biological,ckan_subject_health_and_safety,0.00603370772761,0.0004,2,5,2064,2064
ckan_keywords_biological diversity,ckan_keywords_nature,0.0110980843898,0.00554016620499,2,5,2064,2064
ckan_keywords_bird populations,ckan_keywords_trends,0.00603370772761,0.00826446280992,2,5,2064,2064
ckan_keywords_birds,ckan_keywords_protect species well-being,0.0241327973489,0.0414308866248,5,5,2064,2064
ckan_keywords_british columbia,ckan_keywords_aquaculture,0.0157963820015,0.046875,6,2,2064,2064
ckan_keywords_british columbia,ckan_keywords_critical,0.00603370772761,0.00826446280992,6,2,2064,2064
ckan_keywords_british columbia,ckan_keywords_fish farming,0.0157963820015,0.046875,6,2,2064,2064
ckan_keywords_british columbia,ckan_keywords_fisheries and oceans canada,0.0157963820015,0.046875,6,2,2064,2064
ckan_keywords_british columbia,ckan_keywords_lampetra richardsoni; variety marifuga,0.00603370772761,0.00591715976331,6,2,2064,2064
ckan_keywords_british columbia,ckan_keywords_morrison creek lamprey,0.00603370772761,0.00591715976331,6,2,2064,2064
ckan_keywords_british columbia,ckan_keywords_pacfic,0.00603370772761,0.00591715976331,6,2,2064,2064
ckan_keywords_british columbia,ckan_keywords_pacific region,0.0157963820015,0.046875,6,2,2064,2064
ckan_keywords_british columbia,ckan_keywords_salmon farming,0.0157963820015,0.046875,6,2,2064,2064
ckan_keywords_british columbia,ckan_keywords_species at risk act,0.00603370772761,0.00591715976331,6,2,2064,2064
ckan_keywords_british columbia,ckan_topiccategory_inland_waters,0.00603370772761,0.00591715976331,6,2,2064,2064
ckan_keywords_british columbia (bc),ckan_topiccategory_biota,0.0120670766379,0.0117246704224,3,6,2064,2064
ckan_keywords_budgets,ckan_keywords_fiscal policy,0.103599146689,0.28,2,2,2064,2064
ckan_keywords_budgets,ckan_subject_government_and_politics,0.103599146689,0.28,2,10,2064,2064
ckan_keywords_business,ckan_keywords_emissions,0.0202568283567,0.00308641975309,2,6,2064,2064
ckan_keywords_canada,ckan_keywords_2011,0.0202568283567,0.0236686390533,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_bird,0.0202568283567,0.0236686390533,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_calendar year,0.0914016201474,0.0495867768595,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_cgc,0.00603370772761,0.00826446280992,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_gst-hst,0.0914016201474,0.0495867768595,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_gst-hst credits,0.0914016201474,0.0495867768595,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_gst-hst filers,0.0914016201474,0.0495867768595,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_gst-hst returns,0.0914016201474,0.0495867768595,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_harmonised sales tax,0.0914016201474,0.0495867768595,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_input tax credits,0.0914016201474,0.0495867768595,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_naics,0.0914016201474,0.0495867768595,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_net tax,0.0914016201474,0.0495867768595,4,2,2064,2064
ckan_keywords_canada,ckan_keywords_prairie provinces,0.00603370772761,0.00826446280992,4,2,2064,2064
ckan_keywords_canada education savings grant - cesg,ckan_subject_government_and_politics,0.00603370772761,0.00826446280992,2,10,2064,2064
ckan_keywords_canada education savings program - cesp,ckan_subject_government_and_politics,0.00603370772761,0.00826446280992,2,10,2064,2064
ckan_keywords_canada revenue agency,ckan_keywords_british columbia,0.486107937117,0.87109375,4,6,2064,2064
ckan_keywords_canada revenue agency,ckan_keywords_canada,0.0918454627852,0.0495867768595,4,4,2064,2064
ckan_keywords_canada revenue agency,ckan_keywords_general public,0.169967755062,0.36208677686,4,3,2064,2064
ckan_keywords_canada revenue agency,ckan_keywords_manitoba,0.493983578835,0.87109375,4,2,2064,2064
ckan_keywords_canada revenue agency,ckan_keywords_new brunswick,0.493983578835,0.87109375,4,2,2064,2064
ckan_keywords_canada revenue agency,ckan_keywords_northwest territory,0.493983578835,0.87109375,4,2,2064,2064
ckan_keywords_canada revenue agency,ckan_keywords_nunavut,0.493983578835,0.87109375,4,2,2064,2064
ckan_keywords_canada revenue agency,ckan_keywords_prince edward island,0.493983578835,0.87109375,4,2,2064,2064
ckan_keywords_canada revenue agency,ckan_keywords_statistics,0.169967755062,0.36208677686,4,3,2064,2064
ckan_keywords_canada revenue agency,ckan_keywords_taxpayers,0.169967755062,0.36208677686,4,3,2064,2064
ckan_keywords_canada revenue agency,ckan_subject_economics_and_industry,0.586096225364,1.23318052686,4,16,2064,2064
ckan_keywords_canada student loan,ckan_subject_education_and_training,0.00276508502418,0.25,2,4,2064,2064
ckan_keywords_canadian environmental protection act,ckan_keywords_air,0.0313521995765,0.0152125638149,3,3,2064,2064
ckan_keywords_canadian environmental protection act,ckan_keywords_cd,0.0202568283567,0.00967239760994,3,3,2064,2064
ckan_keywords_canadian environmental protection act,ckan_keywords_harmful substances,0.0313521995765,0.0152125638149,3,3,2064,2064
ckan_keywords_canadian environmental protection act,ckan_keywords_methylmercury,0.0202568283567,0.01108033241,3,2,2064,2064
ckan_keywords_canadian environmental protection act,ckan_keywords_pollution,0.0313521995765,0.0152125638149,3,4,2064,2064
ckan_keywords_canadian environmental protection act,ckan_keywords_releases,0.0313521995765,0.0152125638149,3,3,2064,2064
ckan_keywords_canadian environmental protection act,ckan_keywords_toxic substances,0.0313521995765,0.0152125638149,3,3,2064,2064
ckan_keywords_canadian radiological monitoring network,ckan_subject_health_and_safety,0.00603370772761,0.00591715976331,2,5,2064,2064
ckan_keywords_cansim,ckan_subject_agriculture,0.0327826918951,11.0,2,4,2064,2064
ckan_keywords_cansim,ckan_subject_economics_and_industry,0.374024680783,78.25,2,16,2064,2064
ckan_keywords_cansim,ckan_subject_law,0.0123414908971,3.0,2,5,2064,2064
ckan_keywords_capital stock,ckan_keywords_government business enterprises,0.0110980843898,0.0102040816327,2,2,2064,2064
ckan_keywords_cd,ckan_keywords_cadmium,0.0221948128528,0.00967239760994,3,3,2064,2064
ckan_keywords_cepa,ckan_keywords_canadian environmental protection act,0.0313521995765,0.0152125638149,3,3,2064,2064
ckan_keywords_charadriiformes,ckan_topiccategory_biota,0.00603370772761,0.00346020761246,2,6,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_coa,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_core responsibilities,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_core responsibility,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_financial coding,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_government-wide chart of accounts,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_gwcoa,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_list of program codes,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_prog,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_program activity architecture,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_program activity codes,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_program alignment architecture,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_program codes,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_program inventory,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_programs,0.0286827349426,0.0207612456747,2,2,2064,2064
ckan_keywords_chart of accounts,ckan_keywords_receiver general,0.0286827349426,0.0207612456747,2,4,2064,2064
ckan_keywords_climate,ckan_keywords_air and climate,0.0157963820015,0.0247933884298,2,6,2064,2064
ckan_keywords_climate,ckan_keywords_canadian arctic,0.0157963820015,0.0247933884298,2,2,2064,2064
ckan_keywords_climate,ckan_keywords_climate change,0.0157963820015,0.0247933884298,2,2,2064,2064
ckan_keywords_climate,ckan_keywords_ice,0.0157963820015,0.0247933884298,2,2,2064,2064
ckan_keywords_climate,ckan_keywords_multi-year ice,0.0157963820015,0.0247933884298,2,2,2064,2064
ckan_keywords_climate,ckan_keywords_northwest passage,0.0157963820015,0.0247933884298,2,2,2064,2064
ckan_keywords_climate,ckan_keywords_sea ice,0.0157963820015,0.0247933884298,2,2,2064,2064
ckan_keywords_climate,ckan_keywords_sea ice area,0.0157963820015,0.0247933884298,2,2,2064,2064
ckan_keywords_cmhc,ckan_keywords_housing starts,0.0175873637228,0.444444444444,3,2,2064,2064
ckan_keywords_cmhc,ckan_subject_economics_and_industry,0.0573532428097,1.04166666667,3,16,2064,2064
ckan_keywords_commodity classification,ckan_keywords_custom-basis merchandise trade data,0.59931423731,4.703125,2,2,2064,2064
ckan_keywords_commodity classification,ckan_keywords_exports,0.59931423731,4.703125,2,2,2064,2064
ckan_keywords_commodity classification,ckan_keywords_harmonized system,0.59931423731,4.703125,2,2,2064,2064
ckan_keywords_commodity classification,ckan_keywords_hs,0.59931423731,4.703125,2,2,2064,2064
ckan_keywords_commodity classification,ckan_keywords_imports,0.59931423731,4.703125,2,2,2064,2064
ckan_keywords_commodity classification,ckan_keywords_international trade,0.59931423731,4.703125,2,2,2064,2064
ckan_keywords_commodity classification,ckan_subject_economics_and_industry,0.546976165234,4.703125,2,16,2064,2064
ckan_keywords_conditional release decision,ckan_subject_law,0.0286827349426,0.0136054421769,2,5,2064,2064
ckan_keywords_conservation,ckan_keywords_nature,0.0336970306169,0.0370019723866,3,5,2064,2064
ckan_keywords_conservation projects,ckan_keywords_wetlands,0.0157963820015,0.0133333333333,2,3,2064,2064
ckan_keywords_construction-related payment,ckan_keywords_canadian construction association,0.00603370772761,0.00444444444444,2,2,2064,2064
ckan_keywords_construction-related payment,ckan_keywords_cca,0.00603370772761,0.00444444444444,2,2,2064,2064
ckan_keywords_construction-related payment,ckan_keywords_construction contracts,0.00603370772761,0.00444444444444,2,2,2064,2064
ckan_keywords_construction-related payment,ckan_keywords_construction industry,0.00603370772761,0.00444444444444,2,2,2064,2064
